区县中文名称,区县,年份,月份,高温,低温,平均气温,总降水量
永川,yongchuan,2025,2024年09月,36.0,25.0,30.5,62.5
永川,yongchuan,2025,2024年10月,23.0,16.0,19.5,21.2
永川,yongchuan,2025,2024年11月,18.0,13.0,15.5,27.7
永川,yongchuan,2025,2024年12月,11.0,7.0,9.0,4.9
永川,yongchuan,2025,2025年01月,12.0,6.0,9.0,18.8
永川,yongchuan,2025,2025年02月,12.0,7.0,9.5,15.2
永川,yongchuan,2025,2025年03月,18.0,10.0,14.0,75.4
永川,yongchuan,2025,2025年04月,26.0,16.0,21.0,46.7
永川,yongchuan,2025,2025年05月,29.0,19.0,24.0,94.0
永川,yongchuan,2025,2025年06月,32.0,22.0,27.0,358.0
永川,yongchuan,2025,2025年07月,35.0,24.0,29.5,643.0
永川,yongchuan,2025,2025年08月,36.0,26.0,31.0,591.1
合川,hechuan,2025,2024年09月,37.0,26.0,31.5,27.9
合川,hechuan,2025,2024年10月,23.0,17.0,20.0,35.4
合川,hechuan,2025,2024年11月,18.0,13.0,15.5,12.9
合川,hechuan,2025,2024年12月,12.0,6.0,9.0,0.5
合川,hechuan,2025,2025年01月,12.0,6.0,9.0,11.5
合川,hechuan,2025,2025年02月,13.0,7.0,10.0,21.3
合川,hechuan,2025,2025年03月,17.0,10.0,13.5,63.2
合川,hechuan,2025,2025年04月,27.0,17.0,22.0,85.0
合川,hechuan,2025,2025年05月,30.0,20.0,25.0,121.0
合川,hechuan,2025,2025年06月,32.0,22.0,27.0,305.8
合川,hechuan,2025,2025年07月,36.0,26.0,31.0,552.5
合川,hechuan,2025,2025年08月,37.0,27.0,32.0,549.5
南川,nanchuan,2025,2024年09月,35.0,23.0,29.0,34.3
南川,nanchuan,2025,2024年10月,22.0,14.0,18.0,40.1
南川,nanchuan,2025,2024年11月,17.0,11.0,14.0,41.2
南川,nanchuan,2025,2024年12月,10.0,5.0,7.5,1.4
南川,nanchuan,2025,2025年01月,12.0,4.0,8.0,11.3
南川,nanchuan,2025,2025年02月,11.0,4.0,7.5,21.7
南川,nanchuan,2025,2025年03月,17.0,9.0,13.0,67.8
南川,nanchuan,2025,2025年04月,25.0,15.0,20.0,28.1
南川,nanchuan,2025,2025年05月,27.0,18.0,22.5,133.0
南川,nanchuan,2025,2025年06月,30.0,21.0,25.5,320.8
南川,nanchuan,2025,2025年07月,34.0,24.0,29.0,832.6
南川,nanchuan,2025,2025年08月,36.0,25.0,30.5,176.2
江津,jiangjin,2025,2024年09月,37.0,26.0,31.5,22.0
江津,jiangjin,2025,2024年10月,23.0,17.0,20.0,17.3
江津,jiangjin,2025,2024年11月,18.0,13.0,15.5,47.2
江津,jiangjin,2025,2024年12月,12.0,7.0,9.5,2.3
江津,jiangjin,2025,2025年01月,13.0,7.0,10.0,15.5
江津,jiangjin,2025,2025年02月,13.0,8.0,10.5,7.0
江津,jiangjin,2025,2025年03月,19.0,11.0,15.0,90.3
江津,jiangjin,2025,2025年04月,27.0,17.0,22.0,19.9
江津,jiangjin,2025,2025年05月,30.0,20.0,25.0,7.8
江津,jiangjin,2025,2025年06月,33.0,22.0,27.5,292.7
江津,jiangjin,2025,2025年07月,36.0,25.0,30.5,706.1
江津,jiangjin,2025,2025年08月,37.0,26.0,31.5,308.1
长寿,changshou,2025,2024年09月,37.0,26.0,31.5,31.1
长寿,changshou,2025,2024年10月,23.0,16.0,19.5,54.4
长寿,changshou,2025,2024年11月,18.0,12.0,15.0,16.7
长寿,changshou,2025,2024年12月,11.0,6.0,8.5,4.3
长寿,changshou,2025,2025年01月,12.0,6.0,9.0,4.5
长寿,changshou,2025,2025年02月,13.0,7.0,10.0,5.2
长寿,changshou,2025,2025年03月,18.0,10.0,14.0,46.3
长寿,changshou,2025,2025年04月,27.0,17.0,22.0,274.7
长寿,changshou,2025,2025年05月,30.0,20.0,25.0,73.4
长寿,changshou,2025,2025年06月,32.0,22.0,27.0,160.5
长寿,changshou,2025,2025年07月,36.0,26.0,31.0,721.4
长寿,changshou,2025,2025年08月,38.0,27.0,32.5,355.9
黔江,qianjiang,2025,2024年09月,34.0,21.0,27.5,36.9
黔江,qianjiang,2025,2024年10月,21.0,12.0,16.5,35.5
黔江,qianjiang,2025,2024年11月,18.0,9.0,13.5,11.5
黔江,qianjiang,2025,2024年12月,9.0,2.0,5.5,4.9
黔江,qianjiang,2025,2025年01月,11.0,1.0,6.0,12.9
黔江,qianjiang,2025,2025年02月,9.0,2.0,5.5,16.2
黔江,qianjiang,2025,2025年03月,17.0,7.0,12.0,30.6
黔江,qianjiang,2025,2025年04月,25.0,13.0,19.0,17.2
黔江,qianjiang,2025,2025年05月,28.0,16.0,22.0,31.1
黔江,qianjiang,2025,2025年06月,29.0,19.0,24.0,426.2
黔江,qianjiang,2025,2025年07月,34.0,23.0,28.5,686.9
黔江,qianjiang,2025,2025年08月,34.0,23.0,28.5,631.5
万州,wanzhou,2025,2024年09月,37.0,25.0,31.0,0.0
万州,wanzhou,2025,2024年10月,24.0,15.0,19.5,10.6
万州,wanzhou,2025,2024年11月,19.0,12.0,15.5,33.5
万州,wanzhou,2025,2024年12月,12.0,5.0,8.5,7.1
万州,wanzhou,2025,2025年01月,13.0,5.0,9.0,0.0
万州,wanzhou,2025,2025年02月,13.0,5.0,9.0,5.1
万州,wanzhou,2025,2025年03月,19.0,10.0,14.5,25.5
